NC_project_short_code,sample_type,year,month,day,Site,Cell,depth_zone,transect,species_classcode,count,size,depth,heading,observer,additional,notes
NC_Kelp_SRock,SIZE,2015,8,2,Abalone Point,1,4,1,STRPURAD,9,3,4.3,330,Jeff Bernard,NA,NA
NC_Kelp_SRock,SIZE,2015,8,2,Abalone Point,1,4,1,STRPURAD,4,4,4.3,330,Jeff Bernard,NA,NA
NC_Kelp_SRock,SIZE,2015,8,2,Abalone Point,1,4,1,STRPURAD,4,5,4.3,330,Jeff Bernard,NA,NA
NC_Kelp_SRock,SIZE,2015,8,2,Abalone Point,1,4,1,STRPURAD,1,6,4.3,330,Jeff Bernard,NA,NA
NC_Kelp_SRock,SIZE,2015,8,2,Abalone Point,1,4,1,HALRUF,3,18,4.3,330,Jeff Bernard,NA,NA
NC_Kelp_SRock,SIZE,2015,8,2,Abalone Point,1,4,1,HALRUF,7,19,4.3,330,Jeff Bernard,NA,NA
NC_Kelp_SRock,SIZE,2015,8,2,Abalone Point,1,4,1,HALRUF,7,20,4.3,330,Jeff Bernard,NA,NA
NC_Kelp_SRock,SIZE,2015,8,2,Abalone Point,1,4,1,HALRUF,7,21,4.3,330,Jeff Bernard,NA,NA
NC_Kelp_SRock,SIZE,2015,8,2,Abalone Point,1,4,1,HALRUF,9,22,4.3,330,Jeff Bernard,NA,NA
NC_Kelp_SRock,SIZE,2015,8,2,Abalone Point,1,4,1,HALRUF,1,23,4.3,330,Jeff Bernard,NA,NA
NC_Kelp_SRock,SIZE,2014,9,13,Abalone Point,1,4,1,HALRUF,2,14,4,0,Tim Moxon,NA,NA
NC_Kelp_SRock,SIZE,2014,9,13,Abalone Point,1,4,1,HALRUF,1,17,4,0,Tim Moxon,NA,NA
NC_Kelp_SRock,SIZE,2014,9,13,Abalone Point,1,4,1,HALRUF,4,18,4,0,Tim Moxon,NA,NA
NC_Kelp_SRock,SIZE,2014,9,13,Abalone Point,1,4,1,HALRUF,5,19,4,0,Tim Moxon,NA,NA
NC_Kelp_SRock,SIZE,2014,9,13,Abalone Point,1,4,1,HALRUF,2,21,4,0,Tim Moxon,NA,NA
NC_Kelp_SRock,SIZE,2014,9,13,Abalone Point,1,4,1,HALRUF,1,22,4,0,Tim Moxon,NA,NA
NC_Kelp_SRock,SIZE,2014,9,13,Abalone Point,1,4,1,STRFRAAD,2,2,4,0,Tim Moxon,NA,NA
NC_Kelp_SRock,SIZE,2014,9,13,Abalone Point,1,4,1,STRFRAAD,1,4,4,0,Tim Moxon,NA,NA
NC_Kelp_SRock,SIZE,2014,9,13,Abalone Point,1,4,1,STRFRAAD,2,12,4,0,Tim Moxon,NA,NA
NC_Kelp_SRock,SIZE,2014,9,13,Abalone Point,1,4,1,STRFRAAD,1,13,4,0,Tim Moxon,NA,NA
NC_Kelp_SRock,SIZE,2014,9,13,Abalone Point,1,4,1,STRFRAAD,1,14,4,0,Tim Moxon,NA,NA
NC_Kelp_SRock,SIZE,2014,9,13,Abalone Point,1,4,1,STRFRAAD,2,17,4,0,Tim Moxon,NA,NA
NC_Kelp_SRock,SIZE,2014,9,13,Abalone Point,1,4,2,STRFRAAD,2,7,4,180,Johnathan Centoni,NA,NA
NC_Kelp_SRock,SIZE,2014,9,13,Abalone Point,1,4,2,STRFRAAD,2,8,4,180,Johnathan Centoni,NA,NA
NC_Kelp_SRock,SIZE,2014,9,13,Abalone Point,1,4,2,STRFRAAD,2,9,4,180,Johnathan Centoni,NA,NA
NC_Kelp_SRock,SIZE,2014,9,13,Abalone Point,1,4,2,STRFRAAD,5,10,4,180,Johnathan Centoni,NA,NA
NC_Kelp_SRock,SIZE,2014,9,13,Abalone Point,1,4,2,STRFRAAD,3,11,4,180,Johnathan Centoni,NA,NA
NC_Kelp_SRock,SIZE,2014,9,13,Abalone Point,1,4,2,STRFRAAD,1,12,4,180,Johnathan Centoni,NA,NA
NC_Kelp_SRock,SIZE,2014,9,13,Abalone Point,1,4,2,STRFRAAD,1,13,4,180,Johnathan Centoni,NA,NA
NC_Kelp_SRock,SIZE,2014,9,13,Abalone Point,1,4,2,STRPURAD,2,3,4,180,Johnathan Centoni,NA,NA
